animal,pronoun,response,age,gender
bear,,"the bear paused, sat for a moment, and said “I think I might just wait here for a while.”",20s,female
cat,he,"he regarded the author of these sentences with an equal air of disapproval. For she was not a cat person, therefore nothing she could say about this cat would ever please anyone who may read it. She apologizes.",30s,female
bear,,there was no longer a river,30s,female
dog,,"the dog had no time for hesitation, leaping from the grassy bank and plunging into the water.",,
bear,,"the bear waded into the river and waited. And Waited. And finally, the salmon came in droves and it was glorious for all.",,
dog,it,"the dog jumped into the river and started swimming. It spent a while fighting against the current. Once it was satisfied, the dog walked back out of the river and shook itself dry. ",20s,male
pig,she,"The pig woke up on her birthday and her family had made her a birthday cake that was three times her size. After she blew out the candles, she plunked her head into the cake and began eating. And eating. And eating. ",60+,female
cat,he,He sat on the shore waiting to catch fish.,,
rabbit,it,"it searched the river banks, but didn't find anyone. It turned to its companion and said, ""if they're not here, there's only one last place to look: the forester's house.""",40s,female
pig,he,he surveyed the water and rushes carefully before stepping closer.,30s,male
bear,,"The bear noticed the river was filled with milk instead of water. Swimming in the milk were chocolate chip fish, which the bear spent the rest of the day catching and eating.",20s,male
pig,he,"He cast his fishing line into the water, and waited for a bite.  Soon he reeled in a trout, and built a fire to cook it.  He enjoyed his trout meal, and then snuggled down for a nap.",60+,female
pig,he,He sat down to rest and then he fell a sleep,50s,female
bird,he,he takes a sip and continues his journey upstream.,20s,male
mouse,it,It took a dive and refreshed itself,20s,male
cat,he,"the cat snagged a fish, wolfed it down, and lapped up some water. Belly full, he basked in the sun, daydreaming of the days when the tall cats spoke the same language.",30s,male
cat,he,the cat quickly turned around because cats hate water. He then went back home to lay in the sunshine for the rest of the day.,,
dog,,"a swift current and rising waters made it impassable. But the dog, ever loyal, plunge in anyway to try and reach the child and old man on the other side that otherwise might do the same. ",60+,female
cat,,"the cat went into the water. Getting wet, the cat decided to build a boat.",30s,male
bear,,"the bear bathed in the river, caught fish, and then built a home.",30s,male
cat,it,"the cat exploded into one billion pieces, as it was allergic to going to the river.",20s,male
cat,he,he asked the other cat why could he suddenly speak. The other cat barked.,30s,female
dog,,the dog leaned down to take a drink of water.,30s,female
pig,she,she laid down and took a giant gulp of water.,na,na
bird,she,"the bird gazed upon the expanse of the river, just one of her many homes. The river was her favorite place, and the one she kept returning to. ",30s,female
mouse,it,it decided to turn back.,40s,non-binary
rabbit,he,"the rabbit put down his paper boat, and watched it float away.",20s,male
cat,she,she got into her boat and rowed away.,20s,non-binary
rabbit,he,"the rabbit found his friend the monkey waiting, and hopped on his back and his friend the monkey swung from trees that spanned the river and popped  over to the other side. ",40s,male
dog,he,"he scanned the river and spotted a stick. So he jumped in to rescue it. After the dog captured the stick, he brought it to the dry land.",50s,female
dog,it,"it began to drank from the river and, startled by a noise, it jolted its head upwards. It could make out an oblong head and long spindly legs that curved at an angle. A low growl emerged from its lips.",20s,female
cat,it,"it thought, ""is this a reference to something?"" He could not think of anything that it could be to, so she went back down the river. ",30s,
bear,,The bear started putting swimsuits on and swimming,,
bird,they,the bird found their nest completely in pieces. There was an obvious track of pieces of their nest towards the river. It must have been the alligator.,20s,male
mouse,,"the mouse scampered aboard the waiting ship on four determined paws.  

""Captain,"" said the mouse, ""we have found traces of the previous expedition and evidence that they may have intended to follow the course of the river downstream.""",50s,female
rabbit,it,the rabbit looked at its reflection with wonderment.,,
cat,they,"they sunbathed on a rock, and soaked up all those nice warm sunrays!",30s,female
cat,it,"... it paced up and down the shoreline, nervously looking for clues.",60+,male
bear,,"the bear said ""Bugger. I forgot why I had to go the river. Best to go back to my cave and see if it comes back to me""",40s,male
pig,she,"drank a sip, washed her face, and looked at her reflection.",30s,self
cat,she,"the cat peered into the water, where she spied a fish.",50s,female
bear,,and the bear go to the river,u20,female
dog,he,The dog sat in a pile of muck and wallowed in his feelings about how his dog food was seemingly worsening in quality due to government cutbacks.,20s,female
cat,he,The cat stared out the window without blinking. Down on the street a large dog was walking with his human. The cat's blazing eyes bore down on the unsuspecting dog whose hackles raised in some sympathetic nervous response to the cat's anger...,50s,female
cat,he,"the cat looked at himself in the reflection of the water and noticed, for the first time, how big, bright, and beautiful his forest-green eyes were. He took a small sip of water and then continued on his way. A dog barked in the distance as the cat gazed at the horizon and walked until his paws could no longer bear the weight — at least, not today.",30s,male
pig,she,"she called out ""Gator! Where are you? I must warn you of something!""",50s,male
bear,,the bear found a rock and started to fish.,,
mouse,he,he realised the prophecy had been accurate all along.,30s,na
mouse,he,"the mouse apprehensively approached the river's edge, staying alert for the pesky fox, and searching for his friends. The river ripples danced in the moonlight.",30s,male
pig,he,"He ate a human child before letting it out the other end, except the child now became a radioactive butterfly who shot lava through where the sun don’t shine, and killed everyone except the pig, and now they are living happily with Joe Biden and Donald trump in teletubby land!",,female
dog,,"the dog laid out their picnic blanket, popped a can of lemonade, took a gulp and dived into the river to cool off.",30s,female
rabbit,she,"the rabbit took one look at the raging current and decided she could not swim across. She sat down by the bank and looked for safe passage across the — a fallen tree? a bridge? — but none were in sight. She decided to take a drink, instead.",40s,female
pig,it,the pig jumped into the river excited. It was now surrounded by its other pig friends.,,
pig,they,"...the pig went to the muddy bank and rolled around until they were covered in the slimy, silty goo. Finally, they were able to escape the heat of the sun as they basked near the cool current.",50s,female
pig,she,"the pig found the rest of her family drinking water or laying on the banks of the river. They all reunited, grazed the remaining summer grass, and fell asleep with their backs against a low outcrop.",20s,male
bear,,The bear fished for salmon.,,
cat,it,"the cat sat down to drink its cool water, and then hunted a small fish. After eating, the cat laid in the sunshine cleaning its paws and whiskers, listening to the calming babble of the passing water. Its belly full, its thirst quenched, its nerves quieted, the cat thought, ""water buffalo was right, the river truly is life.""",40s,female
mouse,he,he went in,,
mouse,he,"the mouse ran along the edge of the river to smell the flowers that had grown in the spring. On his journey, the mouse found a nice selection of left over bread crumbs from a picnic a young couple had left, along with a picture of the girls smiling. The mouse was pleased to eat like a queen on their crumbs.",20s,female
pig,,the pig drank water.,20s,male
bear,,starting fishing & eating.,,
cat,it,"the cat looked around, taking in the scenery and the calm sounds of the flowing water. It walked closer and put one paw in - the temperature was perfect, just as promised. The cat took a leap, and finally, its dream of swimming came true.",20s,non-binary
cat,it,"the cat, contradictory to its nature, dove into the water, waded through the river, and climbed out the other side to continue its adventure. ",20s,female
cat,she,"the cat purchased passage on the ferry across, to continue her journey.",,non-binary
bear,,the bear went to the river 🤣,,
bird,he,He drank deeply.,20s,non-binary
bear,,The bear waded in and caught a fish,30s,female
dog,she,"she took a lap of cool water before sensing something was off. Off a little ways away, she saw a figure in the water. She immediately jumped into the fast moving current. It was a small human. ",30s,female
rabbit,she,"she dipped her ears in the cool water, easing the itchiness her allergies had produced.  Her symptoms were much relieved, and she vowed to share the remedy with other rabbits she knew.  But for now, she continued up the river on her adventure.",60+,female
bird,he,"he noticed briskly flowing water, a tree and a large rock. He sat upon the warm rock and waited for his friend, Jake. While waiting and tweeting a song, a huge salmon jumped out of the river and started singing along with him. ",40s,female
cat,it,"the cat suddenly saw another cat in the distance glancing down intently at the water below. Assuming the cat to be an enemy it decided to rush toward it and eat it. Looking back at the water, the cat thought to itself and said ""Tastes better than a fish.""  ",20s,male
mouse,it,it jumped into the water and swam across the length of it to get to the other side.,u20,female
dog,he,"the dog drank from the cold clear water. It was too cold for a swim, so he padded around until he found half-submerged rocks to use as stepping stones to get to the other side. ",60+,female
rabbit,he,he saw himself in the river. He jumped into the rushing waters and found that fresh water went great with his carrots.,40s,female
bird,she,"she brushed her feather carefully until it shimmerd in the sunlight. Then she sat down and began her daily meditation. Her inner peace set the tone for a gentle,lovely new day. ",20s,female
mouse,he,the mouse splashed his whiskers with cool water.,30s,female
bird,it,"the bird prepared for the long voyage home. With its broken wing, the river was its last hope.",20s,female
rabbit,,The rabbit sat.,20s,female
bird,he,"he jumped in, the water rising up to his knees. He began picking at a nearby crocodile's mouth, snatching up tidbits of scrap meat that the dentist-less crocodile could not reach.",20s,male
cat,she,"she stuck her fluffy paw in the deep cold water for a snickie. ""YEOWWWWL!!!!"", she yeowled, the Prince Consort had chomped her directly in the lump.",30s,female
bear,,the bear drank water from the river,30s,female
bear,,the bear jumped in with a huge splash!,30s,male
bird,he,he found the river to be completely dry. And discovered his eyes were incapable of crying the river back to its initial state.,30s,male
cat,,the cat looked around.,20s,na
pig,he,"the pig was surprised to discover that his two pig friends, with whom he had arranged to swim, had been captured by three crocodiles. One of the crocodiles shouted: ‘we'll only let your friends go if you tell us where the truffle is!'",30s,male
pig,he,He licked his thumb,,
dog,,the dog went for a little swim,30s,male
pig,she,the pig jumped in her kayak and headed toward her mother’s house.,60+,female
dog,he,he was flabbergasted. The river had disappeared.,20s,female
pig,,"the pig noticed a small river rat munching on some clover by the bank. The pig questions the rat and asks, “Clarissa, when did you get here?” The rat replies, “Like two minutes ago.”",20s,female
mouse,,The mouse looked at the river and felt relief.,,
dog,it,"the dog gave a small yip-yip and turned in a circle, snuggling tightly against the riverbank. Then it yawned and began to meow, despite the fact that it was not a cat. The dog did not care about the rules.",,
cat,,"the cat noticed the teens on the bank immediately. Detective Joan’s notes were completely accurate: the youngest wore all red tracksuits, while the older teens wore train conductor uniforms. If Joan’s notes were right about their clothes, what else could she have been right about?",20s,non-binary
rabbit,it,"the rabbit found a beaver drowning in the river. The rabbit hopped over and heard the beaver yelling, ""Please help me! I am struggling!"" The rabbit held out its paw that the beaver interpreted as help, but then the rabbit pressed down on the beaver's head instead...",20s,male
pig,he,"he looked around. At first, he didn't notice the trees, or the birds, or the fish. ",,
cat,he,he jumped into the river. But then remembered that he could not swim and drowned.,u20,male
dog,it,it drank some water and swam across.,20s,male
mouse,it,the mouse decided to take its cheese on a raft across the river.,30s,female
cat,it,The cat looked around for threats. Then found a spot it found comfortable and went to sleep,40s,female
rabbit,she,"she settled into shallow water along the banks, a gentle current pushing sand and silt past her. Despite mustering all the romance and nostalgia she could manage, nothing felt familiar anymore. Heraclitus echoed in her head; this was not the same river and she was not the same rabbit. 
",20s,female
cat,they,"the cat realized that it was beyond ambitious to think that it can learn to love water, turned around and went back to their warm, dry home. ",,
mouse,he,he looked at the rushing water and turned around.,50s,female
bird,it,it settled onto the riverside to take a drink.,u20,female
pig,,the pig began to search for a safe path across.,30s,male
pig,,"the pig went for a refreshing swim, taking a few drinks of water along the way. Then the pig snoozed on the grass by the river bank to dry off in the sun. Happy pig.",40s,female
rabbit,he,he went to the river.,30s,male
bird,,the bird was is shock! All the water was gone! Just like last time.,20s,male
bear,,The bear hunted for fish,50s,male
bear,,"the bear saw another bear in the river, fishing for salmon. The first bear said, ""Any luck?"" The second bear said,""Not yet,"" and kept fishing. The first bear waded in upstream to lend a paw, and before long the two had a feast, getting their fill of fresh fish and friendship.",30s,male
bear,,the bear fished and sunbathed and ate some salmon.,30s,female
bird,,the bird found the river had long dried up and there was nothing but dirt and dust to perch upon.,20s,female
bear,,there were swarms of salmon swimming up river.,30s,female
mouse,he,he went for a swim,30s,male
mouse,he,"he got into his little leaf-boat, loosed it from the dock, and began to row into the rushing current. The river whisked him away from home so fast he could hardly catch his breath in time to say goodbye. ""I suppose I've no choice but to go on an adventure now,"" he said to himself, firmly adjusting his cap.",na,non-binary
mouse,it,The mouse satisfied its thirst.,30s,male
pig,he,"the pig jumped in to bathe. On his journey home, he rolled in dirt and caked himself in mud. Nobody was the wiser of his secret cleansing spot.",40s,female
dog,,The dog saw a cat and started barking at it.,30s,male
bear,,"the bear sniffed the air for friends and enemies, snuffled among the rotting leaves, and satisfied, swung paws and body into the water to begin the salmon hunt.",60+,female
mouse,he,"He looked for something that could float and found a crushed styrofoam cup and got on it for a ride to find his missing sweetheart. He knew that if he took the road, he might never see her again.",40s,female
pig,he,"He looked into the water and saw his murky reflection, so he thought “man, am I dirty…”. He then lowered himself into the water and felt something dragging him down. The pig started frantically swimming, afraid that he was going to drown. ",20s,female
rabbit,,"the rabbit saw a farmer, a wolf, a goat and a cabbage near a single boat.",30s,male
dog,,"the dog said, ""Welp...here I am.""",30s,male
bear,,the bear waded into the river to catch fish.,40s,female
cat,he,"...and then the cat said, “I must go to the river.” Upon arriving, he pulled of his pants and made them into a boat. He sailed down the river into the ocean to Malaysia.",u20,male
bird,,"the crowd swarmed the banks, eager for a glimpse of the newcomer. ",30s,female
rabbit,he,he drank because he was thirsty,,
bear,,"the bear promptly entered the river and took a sh*t.  Now we know the answer to the age-old question ""Does a bear sh*t in the woods?""  And the answer is ""No, it sh*ts in the river.""",60+,female
cat,,"all the tortoise shells, having been long turned into bowl, began to shake. The cat knew that here, the earthquake would begin.",40s,non-binary
bird,,"the bird let out a gasp, ""Where the fuck did the water go?""",u20,non-binary
mouse,he,"the mouse barely drowned but made it to the other side with determination and a powerful will to survive. 

The mouse wanted to go so badly to the river because he was thirsty, but upon arrival, he saw another mouse on the other side, and thought ""It's been a while since I ever seen another mouse, I must go and present myself"". 

To this date, they are best friends. ",30s,female
bird,it,it cleaned it wings from dust and dipped uts head in the water.,30s,female
bear,,the bear climbed into the river and went fishing for salmon/,20s,male
pig,it,"The pig drank some water and took a dip into the river. Upon seeing a crocodile emerge from the water, it hurried away to the bank. ",u20,male
mouse,she,"The mouse hopped on a riverboat gambling cruise and proceeded to order three piña coladas, then she hit it big on the slots and had a lovely conversation with a salamander using the neighboring machine. ",50s,female
bird,,The bird was happy.,20s,male
mouse,,"the mouse saw another mouse at the river who was named tony. tony and the og mouse became best friends, but got tragically washed away in the river, and separated. four years later they found one another again, but unfortunately, tony was severely injured, never to recover, so og mouse took care of him until they both died.",,
pig,it,the pig took its boat and sailed down the river to where its friends were.,,
mouse,he,"The mouse watched the water to see if it's dirty, then puts on his skin to see if it has any reaction and then finally drinks it ",u20,female
dog,he,"the dog eagerly lapped up water, quenching the thirst that had been nagging him through the journey. ",u20,female
cat,she,she feasted on the river rats.,40s,male
mouse,,"The mouse ran into the room, backflipped,",,
dog,he,he praised nature because he was a bit of an atheist and he praised the Lord because he was a bit of a believer. Then he shed his clothes and went for a swim.,,
mouse,she,"she build a floater, and crossed to the other side",30s,male
dog,he,"The dog looked into the water and barked. Three times he barked, and each time there was no response.",40s,female
bird,he,"he had a sip of water from the calmer side of the bank before sitting on a branch and beginning his long-awaited concert for his future mate. Had any human seen it, he would most likely remember how amazing nature and life is and how lucky he is to witness this.",20s,male
cat,he,the cat found a spot where the water was shallow so it was safe to lower his head to drink.,60+,female
bear,,"the bear strode into the river, enjoying the crisp, cool water. The bear then observed the fish swimming around before contemplating a catch. ",30s,female
cat,he,"the river bank split into... 4 ways? But why... the cat didn't think much of it, his puny brain set on one thing and one thing only. Get TT her favorite herring. God knows how though, he's got the damn river split into 4 for some reason...",20s,female
bird,,the bird met Baby Moses and followed him on his journey down the Nile.,40s,male
bird,it,the bird dove into the water to catch some fish for lunch. It then went back to its nest to feed its younglings.,,
bird,,"The bird splish-splashed in the cold water, as the sun danced upon the ripples on the surface. Feeling refreshed, the bird dives under water completely feeling sounds of the world disappear and only murmurs of the river remained. ",20s,na
dog,she,"She swam in the river for a couple hours, then she got bored and went back to her house, which was close to the river, and snuggled with her tutor, Heather",u20,female
bear,,"the bear laid out a picnic blanket by the riverside, sat, and snacked on some tinned fish. ",30s,na
mouse,he,"the mouse understood. Home, life, friendship, love, it all came from the river's waters. However, with this newfound understanding, the mouse asked himself, ""I now know, and yet...what now?""",20s,male
mouse,she,"the mouse gently dropped down to her knees and sighed, taking in the breeze that tickled her cheeks. The water danced across her legs and feet, as if welcoming her back home. The mouse closed her eyes and hummed, then opened them to see a figure standing ahead of her. ",20s,non-binary
rabbit,he,The rabbit jumped into the river and kicked his way all the way down to the darkness of the river bed.,20s,male
cat,it,"the cat stopped, thinking that it could or should not swim. It waded into the shallow part to feed itself, catching small fish that would make the mistake of swimming too close to the shore. ",30s,female
cat,,the cat curled up in the sunshine and took a nap.,50s,female
rabbit,he,he realizes that he left his basket of food at the camp. He continues to go along his route before being stopped by the local predators.,,
dog,,"the dog sat down in the sun and basked in the warm weather. ""Ah,"" the dog said, ""that's the good stuff.""",30s,male
pig,,I just bath in mudd and ate a big meal,,
pig,he,"the pig was about to drink, but struck by his own reflection, stared in awe. He was just standing there, motionless, until it became dark. ""So much beauty in this world!"" - thought the pig.",30s,female
cat,they,They looked the reflection of themselves and spoke to the other side of the water like there was someone there.,,
mouse,he,"he stepped into his canoe and began paddling downstream. He followed the river until the last light left the sky. As the moon peered over the tree tops, he saw it - Costco.",30s,
bear,,"at the river’s bank, BEAR surveyed the water flow looking for surface disruptions caused by fishes. About four feet from BEAR, in the river’s shallow, a fish jumped out of the water , twisted, and fell back. BEAR leaped, with jaws wide, attempting to latch onto a tasty morsel. ",60+,male
cat,she,"...and then the cat said, “I must go to the river.” Upon arriving, the cat meets the dog by the river bank. ""I can't seem to get a break from this, huh!"" the cat huffs while shaking her head. The cat takes a deep calming breath and walks towards the other side of the river bank hoping the dog does not notice her presence.",20s,female
bear,,the bear went swimming and caught a salmon fish!,u20,male
cat,he,"He saw it was mostly dried; a few small fish around were easy to catch, so he ate and went back home full, without thinking that the next day there wouldn’t be any fish running down.",30s,female
dog,she,"she checked, how many sentences were actually written by humans, and how many were just generated by some AI chat. The result left her in mixed feelings: should she be happy for the people adapting techs for their benefit, or is it rather sad that they don't exercise their natural creativity?",30s,female
pig,he,"the pig stepped off his skateboard, turned his hat backwards (to indicate he was serious), and looked at the alligator-filled river ahead of him. He thought to himself, ""The only way people will ever take me seriously as a presidential candidate is if I have the gnarly skills to rock this wheely-board."" He took a running start and hit the ramp at full speed, kickflipping into the air.",30s,male
cat,,"the cat met a Tiger that was blocking the path. Stop, said the Tiger. You can not enter without my permission.",40s,male
bird,he,he settled on the shore and dipped his beak into the water for a quick drink.,30s,female
dog,it,"the dog dipped a paw into the water, washing the dirt caked in its fur into the clear blue stream.",20s,female
bear,,the bear settled on a rock to wait for salmon.,,
pig,he,"the pig took off his tweed clothes and got into the river. He had already looked on the bank for a boat but had had no luck. luckily, he was a swimmer.  ",u20,female
bird,it,"the bird noticed some fish swimming below. It took a deep breath, and dove to catch one. This was it's lucky day because on its first chance, it snagged a juicy anchovy. ",30s,female
dog,he,"he took a sip from the water, only to be astonished by its muddied taste. The river was no longer pure, rather it was a source of pollution, with the dog's river friends slowly retreating. ",u20,female
mouse,,The mouse decided to go for a swim.,,
bird,they,"the bird saw they weren't alone. Other animals had gathered there, rabbits and lizards and deer and coyotes, knowing that the time had come to take back what's theirs. ",30s,female
rabbit,he,"and then the rabbit said, “I must go to the river.” Upon arriving, he began to assemble a makeshift water sampling device, utilizing a combination of PVC pipes, a submersible pump, and a multi-parameter water quality probe",20s,male
pig,he,"he found that it was not, in fact, a river, but a mirage -- another, here in the middle of the desert.  ""Not again!"", groaned the pig.  It had been days and days since he'd wandered away from Old McDonald's farm, and he was beginning to grow weary of the seemingly endless trek...",30s,male
bear,,The bear ate a fish,30s,female
dog,it,"the dog looked around for the fisherman who had given it the fish. It found a different firsherman and asked for the whereabout of the first firsherman. Upon seeing a talking dog, the fisherman rana way and the daog kept roamng the earth looking for the fisherman who gave it the fish.",u20,male
mouse,,chese.,u20,male
cat,it,The cat drank the water to quench its thirst.,20s,female
rabbit,he,"He looked left and right, checking for predators. Nothing. He proceeded to wash his smelly armpits to prepare for tonight's date.",20s,male
dog,he,"Upon arriving, the dog felt a mix of emotions: comfort in returning to an environment that has always provided him solace, yet terrified that he’d soon be facing his fears. He knew the only way out was through. As he looked out onto the vista, tracing the ripples and imperfections of the water as they slowly expanded outwards, he felt a sense of relief knowing it gets better ",30s,male
dog,,"the dog jumped in and swam away, looking for a fish friend.",20s,male
mouse,she,she drank from the river. Then sat down and read a book.,60+,female
bird,he,he sat.,u20,na
mouse,,the mouse was confronted by a huge snake.,20s,non-binary
dog,,The dog shat in the river bank,20s,female
rabbit,he,"he looked at the river and said ""The time has come"". He went in and crossed the river",30s,male
rabbit,,the rabbit drank from the river.,20s,female
cat,he,- the cat saw an army of fish ready to fight against him,30s,female
rabbit,,"they smelled the air, looked around, and found a safe spot to sit and wait. As they sat, they watched the water flow by and pondered what they'd do if the traveler never arrived. As dust fell, a raft came down the river and pulled up into a small eddy, the rabbit watched the traveler on the raft for a few minutes, then hopped to the shoreline to get onto the raft.",40s,female
cat,it,"the cat drank the water from the river. The cat saw a fish swim close, and stealthily gripped onto the fish with its claws. Dinner is ready! ",20s,female
dog,they,"they jumped in, swimming across to reunite with their owner. ",20s,female
mouse,,the mouse went into the river.,20s,male
rabbit,it,it stopped.,20s,female
mouse,he,"he said ""i'm a mouse, not a moose, you idiot""",30s,non-binary
dog,,"I will drink some water, and then I need to swim for a while so that I can get that tan. ",20s,female
dog,,The dog threw the stick,,
cat,he,"he ducked his head into the river and took a lick of the water. His feet started to slip, he fell into the water! Oh no!",,female
bird,it,it realized they were all gone. They had left. It was too late.,20s,female
mouse,he,he swam to the other side.,30s,female
rabbit,,"the rabbit sat down and admired the water's beauty. It was shimmering and still and a deep blue, with little to no silt or film on the surface. The rabbit wondered if the water would be cool on this warm spring day.",20s,male
mouse,,"I was starving, so I opened my kitchen cabinet, only to be hit by the soul-crushing stench of a dead rat. Gagging, I called my shy rat acquaintance who only comes out for special occasions (like stealing my snacks), to collect his fallen comrade. 

And then the mouse said, ""I must go to the river.""",20s,female
bird,he,"the bird saw a magical glow beaming inside the water. It was so mesmerizing that he took a closer look, getting his little steps into the edge of the riverbed. Suddenly, the glow getting brighter that it blinding the bird's vision. ",20s,female
cat,he,he realized that he didn´t like the water but he needed indeed. He took a quick shower to be ready for his best friend´s party.,20s,female
bear,,"I'll first dip my claws into it and feel it's cool waters sloshing against my tired paws. Then I'll stomp into all the fishes present in it, ull out my paws and lick it clean off their blood.",,
bird,he,he killed everyone there and poo'ed upon their corpses,u20,female
cat,he,he found a little kid playing with his father and found in this scene his new purpose in life: become this little kid's cat.,20s,female
bear,,the bear took a long drink of water and then started hunting for salmon.,30s,male
cat,he,"the cat found that the bridge to the other side had been broken. Upon seeing this, the cat was in a tight spot, he had to cross the river somehow, or else he would not get to see his brother again. ",u20,male
pig,he,"he jumped in belly first, and floated down like that, into the sunset, until he was free.",20s,female
mouse,it,"the mouse scanned the riverbank, then tapped three times on a smooth stone. The water parted just enough to reveal a hidden tunnel, shimmering with bioluminescence plants . With a flick of its tail, the mouse vanished inside, leaving only the echo of its whisper: “The river remembers.”",,
mouse,she,the mouse pulled out her fiddle and began to play a jazzy tune for all the other mice waiting for the ferry.,30s,female
bear,,"the bear said, ""I must leave the river"".",,
dog,he,"To the gates of hell.No, there was no river there he would just have to ask if he could be sent to heaven instead,but if they put him there he would not be able to leave.Well should NOT have bitten all those mailmans he though with a huff then he strutted in.",u20,female
dog,,"the dog asked, ""now, how about you jump into the river with me so that we can all swim with the crabs?"" 
So we did. We jumped into the river and swam with the crabs and fish.",20s,female
pig,it,the pig gazed deeply into its own reflection.,30s,female
bear,,"the bear and the goose surveyed the source, and had breakfast.",30s,male
rabbit,,The forest is burning.,30s,female
bear,,The bear discovered that the river was nearly dry and there were water bottles there. The bear cried and left to find another river.,20s,female
bird,,"A black bird sat besides me on the bench and kept staring at me, gave me a diamond and then the bird...",20s,non-binary
bear,,the bear found a lot of fish to eat,40s,male
bear,,"the bear splashed into the river to drink water, bathe (waking up from the long hibernation), and to hunt for fish.",60+,female
bear,,I waded in up to my shoulders and went fishing for trout.,30s,na
rabbit,he,"I will make myself comfortable, deploy my portable chair and take out a book. Little rabbit jumped up and down with joy. When the joy had passed, he said, ""I actually don't know where the river is"", smiled and said ""but I can dream!""",20s,male
pig,she,"the went for a swim. Then she said, ""I am happy I came to the river.""",u20,non-binary
rabbit,,"The rabbit stopped and looked upon the water. ""I must find a boat to cross, but the sun is to beautiful for work.""",40s,male
dog,he,"he paused there at the edge where the earth sloughed off into the slow and sullen water, where the roots of the cypress bled down into the current like grasping fingers, where the air, thick and yellow with the last light of the dying afternoon, trembled in the weight of its own stillness, and he, the dog, not merely a dog but the dog, came to bear witness.",20s,male
bird,,The bird looked left and right,20s,female
rabbit,he,he took a drink of water and looked across at the horizon. He thought about where he must go next.,30s,female
cat,he,he met with Charlie the turtle.,,
cat,he,"he stared at the shimmering glow on the gentle waves of the river cast by the dim moonlight of the night sky. “What was I gonna do here?” he mumbled to himself, scratching his head with his tiny front paw. ",20s,male
cat,she,"the cat was surprised to see the river all dried up. She took a step back and gasped, “what is going on?”.",30s,female
bear,,the bear caught some salmon.,,
dog,it,it ran up to the river and took a big slurp from it.,20s,male
pig,,and cross it,,
bird,it,it spontaneously burst into flames. Which is strange for a bird to do! —maybe it was a Fenix. But why wait until it got to the river? Strange...,30s,male
rabbit,he,"he was happy the sun was out, had some water, and relaxed by the shore.",30s,female
mouse,he,"it built a small boat to cross the river from a nut shell, sailed on it to the rock in the middle of the river and spoke to his friend Frog. Frog said that he could help them with building the house.  ",u20,female
rabbit,he,"the rabbit took off his knickers, removed his Motley Crue t-shirt, and waded into the water. He ducked under and sprang up out of the water with a yelp. Surprisinly, the rabbit had a small fish in its mouth.",50s,male
cat,it,"the cat picked its way delicately over the stones on the river bank, searching for the tasty morsel it was promised.",,
rabbit,he,the rabbit realized he'd gone the wrong way. He really wanted to be on the other side. He needed to cross the bridge that was in the opposite direction.,40s,female
rabbit,he,"he stopped and took a drink from the water.
",,
rabbit,,Arrived,20s,female
cat,it,It had a very refreshing drink of the crisp river water.,20s,male
bear,,the bear snatched and ate four juicy salmon and then settled down for a nap,30s,female
bear,,the bear promptly jumped into the cold water and had a refreshing swim,20s,female
pig,,"it was clear that things had changed. No longer there, a quiet haven worthy of Badger and Ratty. Pig sighed, and wearily turned back once more towards the city. ",50s,female
cat,he,"he swam
",,
cat,he,"the cat realized his error. The river's steep banks and churning depths made leaning in to sate his thirst a terrifying prospect. O, how he missed the safety and steady supply of food and drink back home—why had he felt compelled to begin this ill-fated adventure?",30s,male
pig,she,"she threw herself in and found, indeed, that she really could float. ""Landsakes"", she said, ""I guess I can swim after all. Well, now I'm *happier* than a pig in mud!""",50s,female
bird,he,"the bird was gratified to find his friends, on the same branch they always were. The bird took its place between two others, and together, they began to sing.",30s,self
mouse,it,"the mouse, faced with the daunting task of crossing the river, sat and pondered the situation.
Then an owl swooped down an ate it.",30s,male
pig,he,He found a joke shop that said “why did the chicken cross the road? Because he wanted to get away from KFC.,u20,
dog,he,"the dog followed the scent he'd grown to learn all these years, to the very edge of the river. The scent was unmistakably the very same he has spent most of his life chasing. ""Tuna sandwich, how I missed it"", he sighed and and leapt in—only to watch in horror as the sandwich sank faster than his dignity.",20s,female
cat,he,"he took a bath in the cold water, totally naked",na,na
cat,,ate my homework. Duh. And then ran across my keyboard.,20s,female
mouse,,The mouse swam in the river.,20s,female
cat,he,"he drank incessantly, enough to lower the water level, revealing the eyes of an alligator right across from him, just in sight. Shocked, the cat jumps up, but as he returns to the earth, he touches the water, jumping even higher than before, landing on a branch above. Neither the alligator, nor the cat himself knew if he could get down, and so the former swam away, confounded only by instinct.",20s,male
rabbit,he,he twerked while crying,60+,na
pig,he,he rolled in the cool mud,50s,female
bear,,the bear jumped into the river and caught a salmnon.,,
bear,,Monkey,u20,male
dog,he,"The dog woke up from his dog bed, drank water from his bowl, ate some treats, then went out the doggy door of his house. He jogged across his grassy front lawn.",,
bear,,the bear drank,50s,male
bear,,the bear tried to catch some fish.,u20,male
cat,he,"he searched the marketplace for fresh fish, nabbing a particularly plump salmon for his dinner over the campfire later.  ",20s,female
bird,,"the bird looked sadly at the water. The stream’s flow seemed deep and cold, endless chilling ripples. “This is where all ends.”",40s,female
cat,,"the cat whispered a soft request to the universe, begging for it to still be there. The cat looked up and down the riverbank, whiskers twitching in nervous energy. In the distance, the light reflected different from everywhere else; could this be it?",30s,female
